"11540","Appleton, WI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",78.4
"11540","Appleton, WI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.4
"11700","Asheville, NC (Metropolitan Statistical Area)","1","RPPs: All items",93.2
"11700","Asheville, NC (Metropolitan Statistical Area)","2","  RPPs: Goods",96.0
"11700","Asheville, NC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",87.7
"11700","Asheville, NC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.9
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","RPPs: All items",92.0
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.3
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",80.3
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.2
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","1","RPPs: All items",95.6
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.9
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",91.6
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",95.5
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","RPPs: All items",107.0
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","2","  RPPs: Goods",102.9
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",111.3
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","4","  RPPs: Services: Other",108.2
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","RPPs: All items",85.8
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","2","  RPPs: Goods",92.0
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",72.8
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",92.5
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","RPPs: All items",89.3
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.2
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",68.9
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.2
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","1","RPPs: All items",99.0
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",112.2
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.3
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","RPPs: All items",97.8
"12540","Bakersfield, CA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.8
"12540","Bakersfield, CA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",94.0
"12540","Bakersfield, CA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.3
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","RPPs: All items",108.0
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","2","  RPPs: Goods",102.1
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",117.9
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","4","  RPPs: Services: Other",107.3
"12620","Bangor, ME (Metropolitan Statistical Area)","1","RPPs: All items",95.9
"12620","Bangor, ME (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"12620","Bangor, ME (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",90.0
"12620","Bangor, ME (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","RPPs: All items",101.9
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",116.8
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","RPPs: All items",93.3
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.6
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",85.9
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.0
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","RPPs: All items",91.6
"12980","Battle Creek, MI (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"12980","Battle Creek, MI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",75.4
"12980","Battle Creek, MI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.4
"13020","Bay City, MI (Metropolitan Statistical Area)","1","RPPs: All items",90.2
"13020","Bay City, MI (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"13020","Bay City, MI (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",68.9
"13020","Bay City, MI (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.4
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","RPPs: All items",90.3
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.2
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",70.7
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.2
"13220","Beckley, WV (Metropolitan Statistical Area)","1","RPPs: All items",79.7
"13220","Beckley, WV (Metropolitan Statistical Area)","2","  RPPs: Goods",92.0
"13220","Beckley, WV (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",52.8
"13220","Beckley, WV (Metropolitan Statistical Area)","4","  RPPs: Services: Other",92.5
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","RPPs: All items",100.1
"13380","Bellingham, WA (Metropolitan Statistical Area)","2","  RPPs: Goods",96.8
"13380","Bellingham, WA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",105.1
"13380","Bellingham, WA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.3
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","1","RPPs: All items",95.8
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","2","  RPPs: Goods",98.4
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",95.2
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.5
"13740","Billings, MT (Metropolitan Statistical Area)","1","RPPs: All items",97.7
"13740","Billings, MT (Metropolitan Statistical Area)","2","  RPPs: Goods",96.9
"13740","Billings, MT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",93.2
"13740","Billings, MT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.9
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","RPPs: All items",95.0
"13780","Binghamton, NY (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"13780","Binghamton, NY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",84.7
"13780","Binghamton, NY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","RPPs: All items",89.9
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","2","  RPPs: Goods",97.3
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",70.0
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.2
"13900","Bismarck, ND (Metropolitan Statistical Area)","1","RPPs: All items",94.0
"13900","Bismarck, ND (Metropolitan Statistical Area)","2","  RPPs: Goods",97.5
"13900","Bismarck, ND (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",85.1
"13900","Bismarck, ND (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.1
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","1","RPPs: All items",88.2
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","2","  RPPs: Goods",91.9
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",77.6
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",92.6
"14010","Bloomington, IL (Metropolitan Statistical Area)","1","RPPs: All items",94.1
"14010","Bloomington, IL (Metropolitan Statistical Area)","2","  RPPs: Goods",97.0
"14010","Bloomington, IL (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",87.3
"14010","Bloomington, IL (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.8
"14020","Bloomington, IN (Metropolitan Statistical Area)","1","RPPs: All items",94.9
"14020","Bloomington, IN (Metropolitan Statistical Area)","2","  RPPs: Goods",97.3
"14020","Bloomington, IN (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",92.4
"14020","Bloomington, IN (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.9
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","1","RPPs: All items",93.0
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",76.5
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"14260","Boise City, ID (Metropolitan Statistical Area)","1","RPPs: All items",95.1
"14260","Boise City, ID (Metropolitan Statistical Area)","2","  RPPs: Goods",96.9
"14260","Boise City, ID (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",81.6
"14260","Boise City, ID (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.0
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","1","RPPs: All items",110.3
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","2","  RPPs: Goods",100.5
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",140.8
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","4","  RPPs: Services: Other",108.7
"14500","Boulder, CO (Metropolitan Statistical Area)","1","RPPs: All items",109.1
"14500","Boulder, CO (Metropolitan Statistical Area)","2","  RPPs: Goods",101.9
"14500","Boulder, CO (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",141.3
"14500","Boulder, CO (Metropolitan Statistical Area)","4","  RPPs: Services: Other",100.4
"14540","Bowling Green, KY (Metropolitan Statistical Area)","1","RPPs: All items",85.8
"14540","Bowling Green, KY (Metropolitan Statistical Area)","2","  RPPs: Goods",91.9
"14540","Bowling Green, KY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",65.9
"14540","Bowling Green, KY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",92.7
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","1","RPPs: All items",105.0
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","2","  RPPs: Goods",105.7
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",111.1
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",101.6
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","1","RPPs: All items",120.4
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","2","  RPPs: Goods",110.8
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",146.6
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",120.0
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","1","RPPs: All items",85.0
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",58.1
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.3
"15260","Brunswick, GA (Metropolitan Statistical Area)","1","RPPs: All items",86.0
"15260","Brunswick, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",92.0
"15260","Brunswick, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",72.4
"15260","Brunswick, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",92.5
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","1","RPPs: All items",93.8
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",79.0
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"15500","Burlington, NC (Metropolitan Statistical Area)","1","RPPs: All items",90.5
"15500","Burlington, NC (Metropolitan Statistical Area)","2","  RPPs: Goods",97.6
"15500","Burlington, NC (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",72.6
"15500","Burlington, NC (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.3
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","1","RPPs: All items",102.7
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","2","  RPPs: Goods",97.8
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",123.0
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","4","  RPPs: Services: Other",97.9
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","1","RPPs: All items",98.2
